PF1.1;01;5;2;
PF1.1;01;3;3;
PF1.1;01;4;5;
PF1.1;01;7;5;
PF1.1;01;1;1;
PF1.1;01;8;5;
PF1.1;02;2;4;
PF1.1;02;1;3;
PF1.1;02;4;5;
PF1.1;03;3;5;
PF1.1;03;5;6;
PF1.1;04;6;4;
PF1.1;04;4;5;
PF1.1;04;7;5;
PF1.1;04;5;5;
PF1.1;04;8;9;
PF2.2;01;3;5;
PF2.2;01;1;1;
PF2.2;01;5;7;
PF2.2;02;4;5;
PF2.2;02;8;4;
PF2.2;03;4;1;
PF2.2;03;6;6;
PF2.2;04;7;4;
PF2.2;04;4;4;
PF2.2;04;8;7;
PF2.2;05;4;1;
PF2.2;05;6;2;
PF2.2;06;6;6;
PF2.2;06;1;5;
PF2.2;06;8;4;
PF2.2;07;4;4;
PF3.3;01;3;6;
PF3.3;01;2;7;
PF3.3;01;8;8;
PF3.3;02;4;7;
PF3.3;02;8;7;
PF3.3;03;5;8;
PF3.3;03;3;7;
PF3.3;03;7;7;
PF3.3;04;4;7;
PF3.3;04;6;8;
PF3.3;05;1;1;
PF3.3;05;2;4;
PF4.2;01;3;3;
PF4.2;01;1;4;
PF4.2;01;5;7;
PF4.2;02;2;4;
PF4.2;02;8;4;
PF4.2;03;4;5;
PF4.2;03;3;4;
PF4.2;03;6;6;
PF4.2;03;7;7;
PF4.2;04;6;5;
PF4.2;04;5;3;
PF4.2;04;8;5;
PF5.1;01;1;3;
PF5.1;02;2;4;
PF5.1;02;4;5;
PF5.1;03;3;4;
PF5.1;03;8;4;
PF5.1;04;6;3;
PF5.1;04;5;3;
PF5.1;04;8;3;
PF5.1;05;4;5;
PF5.1;05;6;4;
PF6.3;01;2;5;
PF6.3;01;1;3;
PF6.3;01;3;6;
PF6.3;02;4;7;
PF6.3;02;5;8;
PF6.3;03;3;9;
PF6.3;03;6;8;
PF7.2;01;5;5;
PF7.2;01;3;4;
PF7.2;01;6;4;
PF7.2;02;7;6;
PF7.2;02;4;4;
PF7.2;02;8;4;
PF7.2;03;4;4;
PF7.2;03;1;3;
PF7.2;03;3;3;
PF7.2;03;5;5;
PF7.2;04;6;6;
PF7.2;04;2;4;
PF7.2;04;8;5;
PF7.2;05;1;3;
PF7.2;05;3;3;
PF8.1;01;2;4;
PF8.1;01;1;3;
PF8.1;01;6;4;
PF8.1;02;5;5;
PF8.1;02;4;6;
PF8.1;02;8;4;
PF8.1;03;3;4;
PF8.1;03;7;5;
PF8.1;04;4;4;
PF8.1;04;6;6;
PF8.1;05;7;1;
PF8.1;05;8;2;
